"('balancing', 'loss_load')","('balancing', 'overgeneration')","('balancing', 'reward')","('battery', 'charge_amount')","('battery', 'current_charge')","('battery', 'discharge_amount')","('battery', 'reward')","('battery', 'soc')","('load', 'load_current')","('load', 'load_met')","('load', 'reward')","('renewable', 'curtailment')","('renewable', 'renewable_current')","('renewable', 'renewable_used')","('renewable', 'reward')","('balance', 'reward')","('balance', 'shaped_reward')","('balance', 'overall_provided_to_microgrid')","('balance', 'overall_absorbed_from_microgrid')","('balance', 'flex_provided_to_microgrid')","('balance', 'flex_absorbed_from_microgrid')","('balance', 'controllable_provided_to_microgrid')","('balance', 'controllable_absorbed_from_microgrid')","('balance', 'fixed_provided_to_microgrid')","('balance', 'fixed_absorbed_from_microgrid')",time,price_dkk_per_kwh,wind_kw,batt_cmd
5.597860864385139,0.0,-55.978608643851395,0.41739130434782545,0.7679999999999989,0.0,-0.0,0.0767999999999999,-5.683479403000277,5.683479403000277,0.0,0.0,0.5030098429629628,0.5030098429629628,0.0,-55.978608643851395,-55.978608643851395,6.100870707348102,6.100870707348102,6.100870707348102,0.0,0.0,0.41739130434782545,0.0,5.683479403000277,2025-10-05 19:00:00,0.158667375,0.4929629629629628,0.5
5.421575829536498,0.0,-54.21575829536498,0.41739130434782545,1.1519999999999984,0.0,-0.0,0.11519999999999983,-5.5071943681516355,5.5071943681516355,0.0,0.0,0.5030098429629628,0.5030098429629628,0.0,-54.21575829536498,-54.21575829536498,5.924585672499461,5.924585672499461,5.924585672499461,0.0,0.0,0.41739130434782545,0.0,5.5071943681516355,2025-10-05 19:15:00,0.1992862299999999,0.4929629629629628,0.5
5.818077392133522,0.0,-58.180773921335216,0.41739130434782545,1.5359999999999978,0.0,-0.0,0.1535999999999998,-5.903695930748659,5.903695930748659,0.0,0.0,0.5030098429629628,0.5030098429629628,0.0,-58.180773921335216,-58.180773921335216,6.321087235096485,6.321087235096485,6.321087235096485,0.0,0.0,0.41739130434782545,0.0,5.903695930748659,2025-10-05 19:30:00,0.319873428,0.4929629629629628,0.5
4.603150805427022,0.0,-46.03150805427022,0.41739130434782545,1.9199999999999973,0.0,-0.0,0.19199999999999973,-6.862192971586741,6.862192971586741,0.0,0.0,2.6764334705075448,2.6764334705075448,0.0,-46.03150805427022,-46.03150805427022,7.2795842759345675,7.279584275934567,7.2795842759345675,0.0,0.0,0.41739130434782545,0.0,6.862192971586741,2025-10-05 19:45:00,0.3689296469999999,2.6764334705075448,0.5
5.677707048768555,0.0,-56.77707048768555,0.41739130434782545,2.3039999999999967,0.0,-0.0,0.23039999999999966,-7.936749214928276,7.936749214928276,0.0,0.0,2.6764334705075448,2.6764334705075448,0.0,-56.77707048768555,-56.77707048768555,8.3541405192761,8.3541405192761,8.3541405192761,0.0,0.0,0.41739130434782457,0.0,7.936749214928276,2025-10-05 20:00:00,0.2538678,2.6764334705075448,0.5
5.228297018707485,0.0,-52.28297018707485,0.41739130434782545,2.687999999999996,0.0,-0.0,0.2687999999999996,-7.487339184867205,7.487339184867205,0.0,0.0,2.6764334705075448,2.6764334705075448,0.0,-52.28297018707485,-52.28297018707485,7.90473048921503,7.90473048921503,7.90473048921503,0.0,0.0,0.41739130434782545,0.0,7.487339184867205,2025-10-05 20:15:00,0.183531486,2.6764334705075448,0.5
2.958893179994537,0.0,-29.588931799945367,0.0,3.0719999999999956,2.8262399999999963,-0.0,0.3071999999999996,-8.461566650502078,8.461566650502078,0.0,0.0,2.6764334705075448,2.6764334705075448,0.0,-29.588931799945367,-29.588931799945367,8.461566650502078,8.461566650502078,5.635326650502082,0.0,2.8262399999999963,0.0,0.0,8.461566650502078,2025-10-05 20:30:00,0.101995122,2.6764334705075448,1.0
6.102243922528569,0.0,-61.02243922528569,0.0,0.0,0.0,-0.0,0.0,-7.192874923900311,7.192874923900311,0.0,0.0,1.090631001371742,1.090631001371742,0.0,-61.02243922528569,-61.02243922528569,7.192874923900311,7.192874923900311,7.192874923900311,0.0,0.0,0.0,0.0,7.192874923900311,2025-10-05 20:45:00,0.0528642359999999,1.090631001371742,1.0
5.705047026568175,0.0,-57.050470265681746,0.0,0.0,0.0,-0.0,0.0,-6.795678027939917,6.795678027939917,0.0,0.0,1.090631001371742,1.090631001371742,0.0,-57.050470265681746,-57.050470265681746,6.795678027939917,6.795678027939917,6.795678027939917,0.0,0.0,0.0,0.0,6.795678027939917,2025-10-05 21:00:00,0.058538928,1.090631001371742,1.0
5.5049655357201335,0.0,-55.04965535720133,0.0,0.0,0.0,-0.0,0.0,-6.595596537091875,6.595596537091875,0.0,0.0,1.090631001371742,1.090631001371742,0.0,-55.04965535720133,-55.04965535720133,6.595596537091875,6.595596537091875,6.595596537091875,0.0,0.0,0.0,0.0,6.595596537091875,2025-10-05 21:15:00,0.038453505,1.090631001371742,1.0
