time,soc_kwh,gen_kw,base_kw,wind_kw,pv_kw
2025-10-16 10:00:00,3.063002691872104,0.005477366255144,0.03995433789954338,0.005477366255144,0.0
2025-10-16 11:00:00,3.0610809951032825,0.038111111111111,0.03995433789954338,0.038111111111111,0.0
2025-10-16 12:00:00,3.100450611142605,0.081,0.03995433789954338,0.081,0.0
2025-10-16 13:00:00,3.1398202271819273,0.081,0.03995433789954338,0.081,0.0
2025-10-16 14:00:00,3.1791898432212498,0.081,0.03995433789954338,0.081,0.0
2025-10-16 15:00:00,3.177268146452428,0.038111111111111,0.03995433789954338,0.038111111111111,0.0
2025-10-16 16:00:00,3.1753464496836066,0.038111111111111,0.03995433789954338,0.038111111111111,0.0
2025-10-16 17:00:00,3.214716065722929,0.081,0.03995433789954338,0.081,0.0
2025-10-16 18:00:00,3.1906343494354905,0.0168559670781892,0.03995433789954338,0.0168559670781892,0.0
2025-10-16 19:00:00,3.1489833630747244,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-16 20:00:00,3.1073323767139582,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-16 21:00:00,3.065681390353192,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-16 22:00:00,3.0249528443015263,0.0008888888888888,0.03995433789954338,0.0008888888888888,0.0
2025-10-16 23:00:00,2.98330185794076,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-17 00:00:00,2.9416465811599517,0.0,0.03995433789954338,0.0,0.0
2025-10-17 01:00:00,2.899991304379143,0.0,0.03995433789954338,0.0,0.0
2025-10-17 02:00:00,2.8583360275983347,0.0,0.03995433789954338,0.0,0.0
2025-10-17 03:00:00,2.8166807508175262,0.0,0.03995433789954338,0.0,0.0
2025-10-17 04:00:00,2.7750254740367177,0.0,0.03995433789954338,0.0,0.0
2025-10-17 05:00:00,2.7333701972559092,0.0,0.03995433789954338,0.0,0.0
2025-10-17 06:00:00,2.6917149204751007,0.0,0.03995433789954338,0.0,0.0
2025-10-17 07:00:00,2.6500596436942923,0.0,0.03995433789954338,0.0,0.0
2025-10-17 08:00:00,2.6084043669134838,0.0,0.03995433789954338,0.0,0.0
2025-10-17 09:00:00,2.5667490901326753,0.0,0.03995433789954338,0.0,0.0
2025-10-17 10:00:00,2.525093813351867,0.0,0.03995433789954338,0.0,0.0
2025-10-17 11:00:00,2.4834385365710583,0.0,0.03995433789954338,0.0,0.0
2025-10-17 12:00:00,2.44178325979025,0.0,0.03995433789954338,0.0,0.0
2025-10-17 13:00:00,2.4058385320857782,0.005477366255144,0.03995433789954338,0.005477366255144,0.0
2025-10-17 14:00:00,2.3698938043813067,0.005477366255144,0.03995433789954338,0.005477366255144,0.0
2025-10-17 15:00:00,2.333949076676835,0.005477366255144,0.03995433789954338,0.005477366255144,0.0
2025-10-17 16:00:00,2.2932205306251694,0.0008888888888888,0.03995433789954338,0.0008888888888888,0.0
2025-10-17 17:00:00,2.2515695442644033,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-17 18:00:00,2.2099142674835948,0.0,0.03995433789954338,0.0,0.0
2025-10-17 19:00:00,2.1682589907027863,0.0,0.03995433789954338,0.0,0.0
